Designation,EmpID,Division_ID,Tenure_in_org_in_months,Gross_Pay,Net_Pay,Deduction,Deduction_percentage
Relationship Manager II..,16450,92,47,165800,115949,49851,30.07
Relationship Manager II..,18923,141,34,200791,83165,117626,58.58
Relationship Manager II..,8394,138,87,40890,40690,200,0.49
Relationship Manager..,11840,92,66,187671,141854,45817,24.41
Relationship Manager..,18634,141,35,250110,153689,96421,38.55
Relationship Manager..,16773,141,45,141769,116186,25583,18.05
Relationship Manager..,21058,138,20,210752,156428,54324,25.78
Relationship Manager..,11625,92,67,158163,121919,36244,22.92
Relationship Manager.Senior Lead.,3727,141,65,280110,141233,138877,49.58
Relationship Manager.Senior.,4677,92,136,512007,234883,277124,54.13
Relationship Manager.Senior.,15329,92,55,243805,176571,67234,27.58
Relationship Manager.Senior.,20648,141,23,439212,234620,204592,46.58
Relationship Manager.Senior.,18201,141,37,344731,257657,87074,25.26
Relationship Manager.Senior.,10786,141,71,941642,660810,280832,29.82
Relationship Manager.Senior.,11893,141,65,286147,183186,102961,35.98
Relationship Manager.Senior.,19360,141,32,31906,31706,200,0.63
Relationship Manager.Senior.,14252,141,61,231946,157395,74551,32.14
Release Engineer II..,15387,76,43,92211,71462,20749,22.5
Release Engineer II..,22290,106,11,104133,81589,22544,21.65
Release Engineer II..,21578,96,16,80333,70535,9798,12.2
Release Engineer II..,22276,131,11,116033,98991,17042,14.69
Release Engineer II..,22842,106,7,123000,116727,6273,5.1
Release Engineer II..,21880,76,13,94867,83385,11482,12.1
Release Engineer II..,22910,42,7,249200,244000,5200,2.09
Release Engineer II..,22365,76,10,93185,74356,18829,20.21
Release Engineer II..,17868,106,38,107500,91188,16312,15.17
Release Engineer.Senior Lead.,16296,76,48,179855,127203,52652,29.27
Release Engineer.Senior.,19538,47,31,168744,101429,67315,39.89
Release Engineer.Senior.,18555,82,36,178588,140531,38057,21.31
Release Engineer.Senior.,19574,76,31,117700,83173,34527,29.33
Release Engineer.Senior.,21985,93,13,161219,102329,58890,36.53
Release Engineer.Senior.,20697,76,22,143617,94465,49152,34.22
Reliability Engineer.Senior.,16978,134,43,207661,153918,53743,25.88
Reliability Engineer.Senior.,10671,134,72,188421,118082,70339,37.33
Reliability Engineer.Senior.,5459,134,121,231778,136058,95720,41.3
Reliability Engineer.Senior.,18543,134,36,200552,125683,74869,37.33
Revenue Accountant II..,7107,50,97,110318,57108,53210,48.23
Revenue Accountant II..,6958,50,99,120247,95663,24584,20.44
Revenue Accountant..,6406,50,106,91837,81664,10173,11.08
Revenue Accountant.Senior Lead.,5157,50,125,173876,111580,62296,35.83
Sales Development Representative..,22016,22,13,95301,83758,11543,12.11
Sales Development Representative..,20051,22,27,90447,68333,22114,24.45
Security Analyst.Senior.,17001,44,43,121024,90937,30087,24.86
Security Analyst.Senior.,16119,44,49,98453,77119,21334,21.67
Security Operations Center Network Engineer..,14688,26,59,238401,154461,83940,35.21
Security Operations Center Network Engineer..,18479,26,36,235638,174269,61369,26.04
Security Operations Center Specialist II..,23025,26,6,123287,116600,6687,5.42
Security Operations Center Specialist II..,22288,26,11,171988,135074,36914,21.46
Security Operations Center Specialist II..,20119,26,26,182233,139364,42869,23.52
Security Operations Center Specialist II..,22446,26,10,191460,148037,43423,22.68
Security Operations Center Specialist II..,14844,26,58,166491,105382,61109,36.7
Security Operations Center Specialist II..,22447,26,10,183248,157073,26175,14.28
Security Operations Center Specialist II..,18337,26,37,2511,2511,0,0
Security Operations Center Specialist II..,22814,26,8,145680,123341,22339,15.33
Security Operations Center Specialist II..,17102,26,42,175634,140056,35578,20.26
Security Operations Center Specialist II..,15001,26,57,198623,122476,76147,38.34
Security Operations Center Specialist II..,22679,26,9,174588,148671,25917,14.84
Security Operations Center Specialist II..,16535,26,47,185404,126298,59106,31.88
Security Operations Center Specialist II..,21664,26,15,172676,113361,59315,34.35
Security Operations Center Specialist II..,21692,26,15,172634,140228,32406,18.77
Security Operations Center Specialist..,17176,26,41,156771,126911,29860,19.05
Security Operations Center Specialist..,20039,26,27,141696,98073,43623,30.79
Security Operations Center Specialist..,14353,26,61,117429,81596,35833,30.51
Security Operations Center Specialist..,17317,26,41,154296,94727,59569,38.61
Security Operations Center Specialist..,21372,26,12,100468,72649,27819,27.69
Security Operations Center Specialist.Senior II Lead.,11298,26,69,369749,210658,159091,43.03
Security Operations Center Specialist.Senior II.,16812,26,44,3898,3898,0,0
Security Operations Center Specialist.Senior II.,11674,26,67,277327,164677,112650,40.62
Security Operations Center Specialist.Senior.,17402,26,40,251589,186596,64993,25.83
Security Operations Center Specialist.Senior.,19455,26,32,237532,145105,92427,38.91
Security Operations Center Specialist.Senior.,8091,26,89,253825,149489,104336,41.11
Security Operations Center Specialist.Senior.,19177,26,33,234177,174917,59260,25.31
Security Operations Center Specialist.Senior.,18708,26,35,227907,135377,92530,40.6
Security Operations Center Specialist.Senior.,14882,26,29,312273,198888,113385,36.31
Security Operations Center Specialist.Senior.,14687,26,59,231028,150024,81004,35.06
Security Operations Center Specialist.Senior.,15004,25,57,215817,125912,89905,41.66
Security Operations Center Specialist.Senior.,17975,26,38,216316,109307,107009,49.47
Security Operations Center Specialist.Senior.,18360,26,36,201387,149117,52270,25.96
Security Operations Technician II..,16914,26,44,109721,95008,14713,13.41
Security Operations Technician II..,19888,26,28,90468,71686,18782,20.76
Security Operations Technician II..,14352,26,61,90368,85621,4747,5.25
Security Operations Technician II..,17638,26,39,93015,79319,13696,14.72
Security Operations Technician II..,21494,26,17,99568,70743,28825,28.95
Security Operations Technician..,22307,26,11,65967,61568,4399,6.67
Security Operations Technician.Senior.,21475,26,17,111725,96159,15566,13.93
Security Operations Technician.Senior.,17939,26,38,100524,86536,13988,13.92
Security Operations Technician.Senior.,20406,26,24,118070,81860,36210,30.67
Security Operations Technician.Senior.,17208,26,41,102958,74423,28535,27.72
Security Operations Technician.Senior.,14350,26,61,103053,72627,30426,29.52
Security Operations Technician.Senior.,20030,26,27,107048,93611,13437,12.55
Server Tech Services Engineer II..,16487,109,47,92093,78888,13205,14.34
Server Tech Services Engineer II.Lead.,22571,109,9,133725,116978,16747,12.52
Server Tech Services Engineer II.Lead.,15610,110,52,114375,80014,34361,30.04
Server Tech Services Engineer..,22730,110,8,70417,65607,4810,6.83
Server Tech Services Engineer..,22606,110,9,70417,65229,5188,7.37
Server Tech Services Engineer..,21819,109,14,77383,67324,10059,13
Server Tech Services Engineer..,17060,109,42,63789,60716,3073,4.82
Server Tech Services Engineer..,19020,109,33,82682,74885,7797,9.43
Service Architect II..,16141,69,49,207867,154735,53132,25.56
Services Analyst II..,18339,129,37,107930,85109,22821,21.14
Services Analyst II..,18472,129,36,113284,79379,33905,29.93
Services Analyst II..,22450,129,10,136725,97155,39570,28.94
Services Analyst.Principal.,5942,129,114,267435,150435,117000,43.75
Services Analyst.Senior.,10879,129,71,157291,121792,35499,22.57
Shift Manager..Platform Operations,11994,118,64,175323,129642,45681,26.06
Shift Manager..Platform Operations,8612,118,85,235241,149836,85405,36.31
Shift Manager..Platform Operations,11755,118,66,216467,137378,79089,36.54
Shift Manager..Platform Operations,3395,118,164,172376,112282,60094,34.86
Shift Manager..Platform Operations,11931,118,65,212520,138866,73654,34.66
Shift Manager..Platform Operations,5794,118,117,307342,230710,76632,24.93
Site Reliability Engineer II..,19051,82,33,133636,105859,27777,20.79
Site Reliability Engineer..,16557,82,46,93871,80219,13652,14.54
Site Reliability Engineer.Senior II.,10971,82,24,317410,225700,91710,28.89
Site Reliability Engineer.Senior II.,20427,122,24,264418,201795,62623,23.68
Site Reliability Engineer.Senior.,22456,122,10,197364,162943,34421,17.44
Site Reliability Engineer.Senior.,22901,122,7,258917,218882,40035,15.46
Software Development Engineer in Test II..,19940,93,28,79689,70912,8777,11.01
Software Development Engineer in Test II..,14351,39,61,100521,70567,29954,29.8
Software Development Engineer in Test II..,19663,101,30,89696,74162,15534,17.32
Software Development Engineer in Test II..,22216,45,11,123887,106337,17550,14.17
Software Development Engineer in Test II..,18959,106,34,114281,83305,30976,27.11
Software Development Engineer in Test II..,20476,106,24,91439,63788,27651,30.24
Software Development Engineer in Test II..,20259,39,25,93235,71557,21678,23.25
Software Development Engineer in Test II..,17416,152,40,118232,107020,11212,9.48
Software Development Engineer in Test II..,17225,93,36,87949,63517,24432,27.78
Software Development Engineer in Test II..,19816,101,29,97811,72820,24991,25.55
Software Development Engineer in Test II..,11874,47,61,103415,73607,29808,28.82
Software Development Engineer in Test II..,22971,25,6,187213,177145,10068,5.38
Software Development Engineer in Test II..,22634,104,9,114591,75450,39141,34.16
Software Development Engineer in Test II..,18631,38,35,102611,83995,18616,18.14
Software Development Engineer in Test II..,16074,101,49,100576,80567,20009,19.89
Software Development Engineer in Test II..,19472,39,32,78291,67231,11060,14.13
Software Development Engineer in Test II..,16341,101,48,112008,77307,34701,30.98
Software Development Engineer in Test II..,17137,151,42,130957,113937,17020,13
Software Development Engineer in Test II..,20402,101,24,98565,71037,27528,27.93
Software Development Engineer in Test II..,17040,39,43,99926,70299,29627,29.65
Software Development Engineer in Test II..,15691,102,48,99552,80786,18766,18.85
Software Development Engineer in Test II..,20465,76,24,122841,79188,43653,35.54
Software Development Engineer in Test II..,17220,39,36,84132,57902,26230,31.18
Software Development Engineer in Test II..,15218,39,56,98928,82709,16219,16.39
Software Development Engineer in Test II..,19970,93,28,131345,89404,41941,31.93
Software Development Engineer in Test II..,19707,76,21,107108,83982,23126,21.59
Software Development Engineer in Test II..,22114,82,12,99200,85603,13597,13.71
Software Development Engineer in Test..,19766,102,24,63009,43546,19463,30.89
Software Development Engineer in Test..,20918,101,21,79449,63166,16283,20.49
Software Development Engineer in Test..,19765,102,24,66850,49351,17499,26.18
Software Development Engineer in Test..,19759,39,24,67608,58616,8992,13.3
Software Development Engineer in Test..,17255,151,36,82001,63562,18439,22.49
Software Development Engineer in Test..,20447,104,24,71851,51874,19977,27.8
Software Development Engineer in Test..,21348,63,12,65087,51646,13441,20.65
Software Development Engineer in Test..,21463,76,12,62087,49443,12644,20.36
Software Development Engineer in Test..,19203,39,32,62087,57097,4990,8.04
Software Development Engineer in Test..,19758,106,24,80754,55349,25405,31.46
Software Development Engineer in Test..,19136,104,25,89853,77842,12011,13.37
Software Development Engineer in Test..,21350,93,12,65087,50731,14356,22.06
Software Development Engineer in Test..,20455,37,24,70236,63631,6605,9.4
Software Development Engineer in Test..,20175,101,26,90198,62624,27574,30.57
Software Development Engineer in Test..,21038,76,10,78242,72001,6241,7.98
Software Development Engineer in Test..,21468,76,12,65087,53660,11427,17.56
Software Development Engineer in Test..,17267,104,36,76234,57793,18441,24.19
Software Development Engineer in Test..,21465,82,12,62087,46693,15394,24.79
Software Development Engineer in Test..,20450,104,15,85059,65079,19980,23.49
Software Development Engineer in Test..,21375,104,12,62087,48392,13695,22.06
Software Development Engineer in Test..,19964,39,24,66832,58384,8448,12.64
Software Development Engineer in Test..,21362,101,12,65087,58851,6236,9.58
Software Development Engineer in Test..,19364,39,32,73027,63204,9823,13.45
Software Development Engineer in Test..,20050,131,27,80413,70410,10003,12.44
Software Development Engineer in Test..,20646,117,23,94375,82355,12020,12.74
Software Development Engineer in Test..,22140,102,12,65087,58389,6698,10.29
Software Development Engineer in Test..,20434,93,24,74615,55536,19079,25.57
Software Development Engineer in Test..,19771,39,24,66832,52449,14383,21.52
Software Development Engineer in Test.Principal Lead.,9118,131,82,304584,227630,76954,25.27
Software Development Engineer in Test.Principal Lead.,6701,93,101,252353,150193,102160,40.48
Software Development Engineer in Test.Principal Lead.,11835,101,66,334520,208388,126132,37.71
Software Development Engineer in Test.Principal Lead.,3892,102,90,308280,218305,89975,29.19
Software Development Engineer in Test.Principal.,10919,39,71,255455,187891,67564,26.45
Software Development Engineer in Test.Principal.,17863,101,38,308449,173575,134874,43.73
Software Development Engineer in Test.Senior II Lead.,19018,38,33,255399,149514,105885,41.46
Software Development Engineer in Test.Senior II Lead.,17836,106,38,251374,155083,96291,38.31
Software Development Engineer in Test.Senior II Lead.,10521,131,73,238323,145436,92887,38.98
Software Development Engineer in Test.Senior II Lead.,20429,39,24,303880,210051,93829,30.88
Software Development Engineer in Test.Senior II Lead.,5801,39,117,242083,153247,88836,36.7
Software Development Engineer in Test.Senior II Lead.,10008,47,76,254223,183164,71059,27.95
Software Development Engineer in Test.Senior II Lead.,11672,101,67,225454,160372,65082,28.87
Software Development Engineer in Test.Senior II Lead.,19208,104,32,194994,145313,49681,25.48
Software Development Engineer in Test.Senior II Lead.,21934,104,13,230273,155161,75112,32.62
Software Development Engineer in Test.Senior II Lead.,10411,82,73,278219,170828,107391,38.6
Software Development Engineer in Test.Senior II Lead.,20087,39,26,225910,175009,50901,22.53
Software Development Engineer in Test.Senior II Lead.,12254,104,63,220601,140982,79619,36.09
Software Development Engineer in Test.Senior II.,19085,38,33,241541,160218,81323,33.67
Software Development Engineer in Test.Senior II.,19905,39,28,209583,131714,77869,37.15
Software Development Engineer in Test.Senior II.,21017,101,20,204163,143005,61158,29.96
Software Development Engineer in Test.Senior II.,18273,37,37,214580,168315,46265,21.56
Software Development Engineer in Test.Senior II.,5224,39,124,216763,166083,50680,23.38
Software Development Engineer in Test.Senior II.,17264,101,41,227364,154619,72745,31.99
Software Development Engineer in Test.Senior II.,14752,104,59,193755,86175,107580,55.52
Software Development Engineer in Test.Senior II.,17412,101,40,221303,140060,81243,36.71
Software Development Engineer in Test.Senior II.,7683,93,93,209700,130200,79500,37.91
Software Development Engineer in Test.Senior II.,18800,101,35,220634,182178,38456,17.43
Software Development Engineer in Test.Senior II.,20529,101,24,240649,158211,82438,34.26
Software Development Engineer in Test.Senior II.,18246,82,37,219167,84064,135103,61.64
Software Development Engineer in Test.Senior II.,10505,106,73,235845,144251,91594,38.84
Software Development Engineer in Test.Senior II.,5630,132,18,262432,151230,111202,42.37
Software Development Engineer in Test.Senior II.,19006,39,34,212200,145686,66514,31.34
Software Development Engineer in Test.Senior II.,18662,104,35,246014,116458,129556,52.66
Software Development Engineer in Test.Senior II.,16094,122,21,215725,136705,79020,36.63
Software Development Engineer in Test.Senior II.,7101,93,97,242623,153489,89134,36.74
Software Development Engineer in Test.Senior II.,16292,101,48,221544,131095,90449,40.83
Software Development Engineer in Test.Senior II.,15556,93,53,183561,119764,63797,34.76
Software Development Engineer in Test.Senior II.,14900,122,58,215116,138894,76222,35.43
Software Development Engineer in Test.Senior II.,15572,39,53,271006,178628,92378,34.09
Software Development Engineer in Test.Senior II.,15349,45,55,26796,24325,2471,9.22
Software Development Engineer in Test.Senior II.,14895,131,58,237892,144129,93763,39.41
Software Development Engineer in Test.Senior Lead.,19941,76,14,162451,99507,62944,38.75
Software Development Engineer in Test.Senior Lead.,18793,104,35,162967,130814,32153,19.73
Software Development Engineer in Test.Senior Lead.,17442,152,40,198668,154329,44339,22.32
Software Development Engineer in Test.Senior Lead.,19675,117,30,188605,118308,70297,37.27
Software Development Engineer in Test.Senior.,17669,151,39,172598,105034,67564,39.15
Software Development Engineer in Test.Senior.,18619,38,35,202309,135199,67110,33.17
Software Development Engineer in Test.Senior.,15384,39,55,132036,115515,16521,12.51
Software Development Engineer in Test.Senior.,15688,39,48,132749,98754,33995,25.61
Software Development Engineer in Test.Senior.,15205,101,11,209647,165053,44594,21.27
Software Development Engineer in Test.Senior.,17338,101,41,126230,107703,18527,14.68
Software Development Engineer in Test.Senior.,17926,151,38,188172,150926,37246,19.79
Software Development Engineer in Test.Senior.,17453,131,40,267263,267063,200,0.07
Software Development Engineer in Test.Senior.,17406,106,40,153353,96090,57263,37.34
Software Development Engineer in Test.Senior.,20889,106,21,175572,84228,91344,52.03
Software Development Engineer in Test.Senior.,17109,151,42,162139,107207,54932,33.88
Software Development Engineer in Test.Senior.,22180,106,12,178533,124526,54007,30.25
Software Development Engineer in Test.Senior.,15096,82,57,146755,101126,45629,31.09
Software Development Engineer in Test.Senior.,20738,93,22,158994,113980,45014,28.31
Software Development Engineer in Test.Senior.,23000,42,6,195785,184961,10824,5.53
Software Development Engineer in Test.Senior.,17488,131,39,169257,117543,51714,30.55
Software Development Engineer in Test.Senior.,18813,76,34,97495,60977,36518,37.46
Software Development Engineer in Test.Senior.,22448,101,10,135867,116583,19284,14.19
Software Development Engineer in Test.Senior.,16990,39,43,159715,124895,34820,21.8
Software Development Engineer in Test.Senior.,20082,102,26,176947,132771,44176,24.97
Software Development Engineer in Test.Senior.,18521,93,36,167346,110263,57083,34.11
Software Development Engineer in Test.Senior.,6095,39,111,187462,101357,86105,45.93
Software Development Engineer in Test.Senior.,22372,39,10,130933,114303,16630,12.7
Software Development Engineer in Test.Senior.,19179,102,33,128998,103512,25486,19.76
Software Development Engineer in Test.Senior.,22838,122,7,216267,153781,62486,28.89
Software Development Engineer in Test.Senior.,21617,47,15,147867,106601,41266,27.91
Software Development Engineer in Test.Senior.,17318,102,41,156330,120663,35667,22.82
Software Development Engineer in Test.Senior.,15555,104,53,141710,90899,50811,35.86
Software Development Engineer in Test.Senior.,22189,106,12,167600,137085,30515,18.21
Software Development Engineer in Test.Senior.,11168,39,69,139902,113127,26775,19.14
Software Development Engineer in Test.Senior.,22405,39,10,162667,99848,62819,38.62
Software Development Engineer in Test.Senior.,18715,76,35,160354,133198,27156,16.94
Software Development Engineer in Test.Senior.,22771,131,8,162667,82096,80571,49.53
Software Engineer II..,20169,102,26,133988,110670,23318,17.4
Software Engineer II..,22031,43,12,119033,98506,20527,17.24
Software Engineer II..,19568,43,31,112956,101000,11956,10.58
Software Engineer II..,17223,43,36,100350,74714,25636,25.55
Software Engineer II..,22051,34,12,133487,104606,28881,21.64
Software Engineer II..,18461,151,36,111498,73933,37565,33.69
Software Engineer II..,20645,43,23,122829,73438,49391,40.21
Software Engineer II..,22820,104,8,170600,122748,47852,28.05
Software Engineer II..,15049,34,57,176051,111165,64886,36.86
Software Engineer II..,16369,47,48,128196,53128,75068,58.56
Software Engineer II..,10125,34,59,122833,96669,26164,21.3
Software Engineer II..,19066,63,33,133224,133024,200,0.15
Software Engineer II..,18470,76,36,104496,70991,33505,32.06
Software Engineer II..,17214,82,36,121507,97566,23941,19.7
Software Engineer II..,19658,106,30,133804,104787,29017,21.69
Software Engineer II..,18478,102,36,114002,83381,30621,26.86
Software Engineer II..,17247,63,36,108895,93351,15544,14.27
Software Engineer II..,19193,63,32,189113,146866,42247,22.34
Software Engineer II..,22299,34,11,129917,109628,20289,15.62
Software Engineer II..,22799,96,8,112067,104339,7728,6.9
Software Engineer II..,16336,43,48,103297,76237,27060,26.2
Software Engineer II..,19397,113,27,134518,104653,29865,22.2
Software Engineer II..,20625,104,23,153702,122659,31043,20.2
Software Engineer II..,22275,43,11,126967,68593,58374,45.98
Software Engineer II..,19711,43,30,117050,100191,16859,14.4
Software Engineer II..,15693,34,48,110911,81888,29023,26.17
Software Engineer II..,20607,104,23,155396,126329,29067,18.71
Software Engineer II..,17224,76,36,101114,85071,16043,15.87
Software Engineer II..,21132,113,19,140140,106287,33853,24.16
Software Engineer II..,20582,63,23,166435,129004,37431,22.49
Software Engineer II..,14236,31,61,112295,97552,14743,13.13
Software Engineer II..,21793,104,14,150097,115960,34137,22.74
Software Engineer II..,23022,28,6,113126,107113,6013,5.32
Software Engineer II..,20728,106,22,128395,106809,21586,16.81
Software Engineer II..,18961,82,34,170959,101764,69195,40.47
Software Engineer II..,21782,43,14,156900,115453,41447,26.42
Software Engineer II..,15730,43,46,98683,83428,15255,15.46
Software Engineer II..,17221,82,36,108612,75722,32890,30.28
Software Engineer II..,17752,82,39,128260,96593,31667,24.69
Software Engineer II..,17213,43,36,113708,82360,31348,27.57
Software Engineer II..,17869,82,38,116817,101663,15154,12.97
Software Engineer II..,17227,106,36,133603,89514,44089,33
Software Engineer II..,19763,76,24,100843,68500,32343,32.07
Software Engineer II..,19354,43,32,115128,99124,16004,13.9
Software Engineer II..,22867,43,7,136725,103219,33506,24.51
Software Engineer II..,22950,117,6,445075,431731,13344,3
Software Engineer II..,19514,43,31,105898,90127,15771,14.89
Software Engineer II..,18100,47,37,699,699,0,0
Software Engineer II..,17218,151,36,112204,76036,36168,32.23
Software Engineer II..,15588,34,53,152402,85701,66701,43.77
Software Engineer II..,16524,96,47,146846,123276,23570,16.05
Software Engineer II..,22452,43,10,119033,103984,15049,12.64
Software Engineer II..,16002,28,9,146800,126679,20121,13.71
Software Engineer II..,22118,96,12,133725,113175,20550,15.37
Software Engineer II..,15692,43,48,118660,88602,30058,25.33
Software Engineer II..,22772,38,8,123967,111941,12026,9.7
Software Engineer II..,22431,43,10,143800,132492,11308,7.86
Software Engineer II..,10663,102,72,135504,98958,36546,26.97
Software Engineer II..,15051,37,57,125510,108375,17135,13.65
Software Engineer II..,20562,96,23,136725,99832,36893,26.98
Software Engineer II..,23030,43,6,106605,100783,5822,5.46
Software Engineer II..,15953,43,50,98566,70343,28223,28.63
Software Engineer II..,22433,102,10,120000,93265,26735,22.28
Software Engineer II..,20193,34,26,141230,98936,42294,29.95
Software Engineer II..,11305,43,38,113674,101524,12150,10.69
Software Engineer II..,18917,93,34,162381,99400,62981,38.79
Software Engineer II..,16331,76,48,118115,67877,50238,42.53
Software Engineer II..,17904,4,38,109795,76008,33787,30.77
Software Engineer II..,16365,45,48,133467,98447,35020,26.24
Software Engineer II..,20254,63,25,135942,111272,24670,18.15
Software Engineer..,21354,43,12,73813,58666,15147,20.52
Software Engineer..,22445,4,10,96185,90114,6071,6.31
Software Engineer..,22176,82,12,100167,85705,14462,14.44
Software Engineer..,21351,4,12,73813,65910,7903,10.71
Software Engineer..,21367,82,12,70813,54138,16675,23.55
Software Engineer..,19757,106,24,101574,80427,21147,20.82
Software Engineer..,21373,93,12,73447,52801,20646,28.11
Software Engineer..,22453,4,10,88267,82027,6240,7.07
Software Engineer..,19752,37,24,84087,71403,12684,15.08
Software Engineer..,21383,4,12,70813,54940,15873,22.42
Software Engineer..,21371,76,12,73813,57750,16063,21.76
Software Engineer..,19762,43,24,78908,58011,20897,26.48
Software Engineer..,21361,43,12,73813,56688,17125,23.2
Software Engineer..,22148,43,12,70813,54652,16161,22.82
Software Engineer..,21876,43,13,88267,79056,9211,10.44
Software Engineer..,18473,93,36,87014,52500,34514,39.66
Software Engineer..,22815,47,8,122200,115742,6458,5.28
Software Engineer..,21358,43,12,73813,56340,17473,23.67
Software Engineer..,19770,43,24,78219,54852,23367,29.87
Software Engineer..,16353,113,48,85372,70283,15089,17.67
Software Engineer..,21377,104,12,70813,58352,12461,17.6
Software Engineer..,19767,104,24,86402,60636,25766,29.82
Software Engineer..,21349,43,12,73813,57896,15917,21.56
Software Engineer..,15117,63,33,85669,59434,26235,30.62
Software Engineer..,19798,106,24,94630,64743,29887,31.58
Software Engineer..,21374,43,12,73813,57433,16380,22.19
Software Engineer..,19756,76,24,77502,67456,10046,12.96
Software Engineer..,21472,34,12,73813,57343,16470,22.31
Software Engineer..,19760,37,24,84662,72951,11711,13.83
Software Engineer..,22289,106,11,93185,72026,21159,22.71
Software Engineer..,21366,39,12,75668,60776,14892,19.68
Software Engineer..,11877,113,59,99538,82367,17171,17.25
Software Engineer..,21369,43,12,70813,55538,15275,21.57
Software Engineer..,19769,28,24,76752,56356,20396,26.57
Software Engineer..,22151,106,12,70813,51913,18900,26.69
Software Engineer..,21356,43,12,73813,67362,6451,8.74
Software Engineer..,21357,102,12,73813,61099,12714,17.22
Software Engineer..,19751,43,24,74502,66840,7662,10.28
Software Engineer..,22149,34,12,73813,56672,17141,23.22
Software Engineer..,22269,4,11,93185,87469,5716,6.13
Software Engineer..,21355,43,12,73813,57525,16288,22.07
Software Engineer..,18694,113,35,107751,48781,58970,54.73
Software Engineer..,22139,43,12,86283,68578,17705,20.52
Software Engineer..,19768,106,24,102652,73236,29416,28.66
Software Engineer..,19755,93,24,80883,62846,18037,22.3
Software Engineer..,21347,63,12,73813,66965,6848,9.28
Software Engineer..,21473,28,12,73813,57236,16577,22.46
Software Engineer..,20907,82,21,115436,79930,35506,30.76
Software Engineer..,21370,43,12,73813,57813,16000,21.68
Software Engineer..,18480,104,36,89526,63733,25793,28.81
Software Engineer.Principal Lead.,8592,43,85,516077,279445,236632,45.85
Software Engineer.Principal Lead.,9333,47,80,510961,265185,245776,48.1
Software Engineer.Principal Lead.,15306,93,56,330566,185324,145242,43.94
Software Engineer.Principal.,20349,42,25,476188,224576,251612,52.84
Software Engineer.Principal.,4807,122,133,376070,190321,185749,49.39
Software Engineer.Principal.,9331,47,21,467780,233985,233795,49.98
Software Engineer.Principal.,17415,42,40,533627,247945,285682,53.54
Software Engineer.Principal.,19207,104,32,391846,214163,177683,45.35
Software Engineer.Principal.,5057,34,127,351917,245021,106896,30.38
Software Engineer.Principal.,19113,47,33,433172,212804,220368,50.87
Software Engineer.Principal.,9360,106,79,388584,209788,178796,46.01
Software Engineer.Senior II Lead.,16208,104,48,267066,151860,115206,43.14
Software Engineer.Senior II Lead.,8613,43,85,211808,142905,68903,32.53
Software Engineer.Senior II Lead.,6285,43,108,267228,141678,125550,46.98
Software Engineer.Senior II Lead.,17873,104,38,264375,153793,110582,41.83
Software Engineer.Senior II Lead.,10167,47,74,301605,171098,130507,43.27
Software Engineer.Senior II Lead.,6288,106,108,259196,186722,72474,27.96
Software Engineer.Senior II Lead.,11934,104,65,286098,165742,120356,42.07
Software Engineer.Senior II Lead.,7379,34,95,261937,181841,80096,30.58
Software Engineer.Senior II Lead.,6677,43,97,247988,155614,92374,37.25
Software Engineer.Senior II Lead.,14019,104,62,280473,161424,119049,42.45
Software Engineer.Senior II Lead.,12371,34,62,237740,139042,98698,41.52
Software Engineer.Senior II Lead.,18626,104,35,252249,166968,85281,33.81
Software Engineer.Senior II Lead.,16708,42,45,334279,201134,133145,39.83
Software Engineer.Senior II Lead.,14928,82,58,295210,198198,97012,32.86
Software Engineer.Senior II Lead.,5132,93,78,268718,156366,112352,41.81
Software Engineer.Senior II Lead.,11948,34,65,231804,119351,112453,48.51
Software Engineer.Senior II Lead.,5179,93,125,264772,154258,110514,41.74
Software Engineer.Senior II Lead.,17751,43,39,268561,153442,115119,42.87
Software Engineer.Senior II Lead.,14318,43,61,294719,184812,109907,37.29
Software Engineer.Senior II Lead.,15056,93,57,288597,166500,122097,42.31
Software Engineer.Senior II Lead.,8654,43,85,228917,149520,79397,34.68
Software Engineer.Senior II Lead.,10872,93,71,265928,191786,74142,27.88
Software Engineer.Senior II Lead.,7944,102,90,291982,142429,149553,51.22
Software Engineer.Senior II Lead.,19948,43,28,291357,180068,111289,38.2
Software Engineer.Senior II Lead.,8635,43,85,237598,142875,94723,39.87
Software Engineer.Senior II Lead.,11626,47,67,285580,159019,126561,44.32
Software Engineer.Senior II.,20507,102,24,264688,157656,107032,40.44
Software Engineer.Senior II.,19704,34,30,230473,140965,89508,38.84
Software Engineer.Senior II.,16523,34,35,239695,138378,101317,42.27
Software Engineer.Senior II.,17310,34,34,211048,104657,106391,50.41
Software Engineer.Senior II.,14862,43,58,229033,167832,61201,26.72
Software Engineer.Senior II.,12344,47,63,213219,134339,78880,36.99
Software Engineer.Senior II.,16923,151,43,224625,164672,59953,26.69
Software Engineer.Senior II.,16344,93,48,235155,126972,108183,46
Software Engineer.Senior II.,9417,43,79,243548,145874,97674,40.1
Software Engineer.Senior II.,10534,117,73,231899,170263,61636,26.58
Software Engineer.Senior II.,15008,43,57,204704,152163,52541,25.67
Software Engineer.Senior II.,15294,43,56,210585,92552,118033,56.05
Software Engineer.Senior II.,7315,102,95,239403,142182,97221,40.61
Software Engineer.Senior II.,8778,43,84,212708,107577,105131,49.43
Software Engineer.Senior II.,17059,151,42,280300,133797,146503,52.27
Software Engineer.Senior II.,11740,34,66,225519,178944,46575,20.65
